EventID,EventType,StartDateTime,EndDateTime,Borough,Category,SubCategoryName
127853,Shooting Permit,11/05/2013 06:00:00 AM,11/05/2013 11:00:00 PM,Manhattan,Film,Not Applicable
50727,Shooting Permit,03/28/2012 10:00:00 AM,03/28/2012 11:00:00 PM,Manhattan,Television,Syndication/First Run
234521,Shooting Permit,07/15/2015 06:00:00 AM,07/15/2015 09:00:00 PM,Brooklyn,Commercial,Commercial
112106,Shooting Permit,07/12/2013 06:00:00 AM,07/12/2013 08:00:00 PM,Manhattan,Documentary,Not Applicable
247538,Shooting Permit,10/01/2015 07:00:00 AM,10/01/2015 09:00:00 PM,Queens,Television,Episodic series
244388,Shooting Permit,09/10/2015 06:00:00 AM,09/10/2015 09:00:00 PM,Manhattan,Television,Cable-episodic
71282,Shooting Permit,09/09/2012 06:00:00 AM,09/09/2012 09:00:00 PM,Manhattan,Commercial,Commercial
179918,Shooting Permit,09/11/2014 07:00:00 AM,09/11/2014 10:00:00 PM,Manhattan,Television,Made for TV/mini-series
109902,Shooting Permit,06/26/2013 07:00:00 AM,06/27/2013 01:00:00 AM,Manhattan,Commercial,Commercial
90670,Theater Load in and Load Outs,03/21/2013 12:01:00 AM,03/21/2013 11:59:00 PM,Manhattan,Theater,Theater
311899,Shooting Permit,09/27/2016 07:00:00 AM,09/27/2016 11:00:00 PM,Brooklyn,Television,Episodic series
308410,Shooting Permit,09/01/2016 08:00:00 AM,09/02/2016 02:00:00 AM,Brooklyn,Television,Episodic series
175514,Shooting Permit,08/07/2014 09:00:00 AM,08/07/2014 09:30:00 PM,Manhattan,Television,Episodic series
218168,Shooting Permit,05/06/2015 07:00:00 AM,05/06/2015 08:00:00 PM,Manhattan,Still Photography,Not Applicable
246318,Shooting Permit,09/22/2015 09:00:00 AM,09/23/2015 01:00:00 AM,Manhattan,Television,Cable-episodic
57583,Shooting Permit,05/11/2012 06:00:00 AM,05/11/2012 10:00:00 PM,Manhattan,Commercial,Commercial
133481,Shooting Permit,12/11/2013 07:00:00 AM,12/11/2013 09:00:00 PM,Brooklyn,Television,Episodic series
42737,Theater Load in and Load Outs,01/02/2012 06:00:00 AM,01/18/2012 08:00:00 PM,Manhattan,Theater,Theater
174055,Shooting Permit,07/30/2014 07:00:00 AM,07/30/2014 11:00:00 PM,Manhattan,Film,Feature
251216,Shooting Permit,11/03/2015 08:00:00 AM,11/03/2015 06:00:00 PM,Brooklyn,Still Photography,Not Applicable
184215,Shooting Permit,10/09/2014 07:00:00 AM,10/09/2014 09:00:00 PM,Queens,Television,Episodic series
51811,Theater Load in and Load Outs,04/03/2012 06:00:00 AM,04/04/2012 12:00:00 AM,Manhattan,Theater,Theater
98666,Shooting Permit,05/07/2013 12:01:00 AM,05/07/2013 11:59:00 PM,Manhattan,Theater,Theater
113177,Theater Load in and Load Outs,08/06/2013 12:01:00 AM,08/08/2013 06:00:00 AM,Manhattan,Theater,Theater
185578,Shooting Permit,10/22/2014 07:00:00 AM,10/22/2014 10:00:00 PM,Queens,Television,Episodic series
142356,Shooting Permit,02/21/2014 08:00:00 AM,02/22/2014 03:00:00 AM,Manhattan,Television,Pilot
190989,Shooting Permit,11/25/2014 12:00:00 PM,11/25/2014 05:00:00 PM,Manhattan,Still Photography,Not Applicable
136208,Shooting Permit,01/05/2014 12:00:00 AM,01/05/2014 05:00:00 AM,Manhattan,Television,Special/Awards Show
53887,Shooting Permit,04/19/2012 07:00:00 AM,04/19/2012 08:00:00 PM,Brooklyn,Film,Feature
202912,Shooting Permit,02/17/2015 06:00:00 AM,02/17/2015 10:00:00 PM,Manhattan,Television,Made for TV/mini-series
206806,Shooting Permit,03/12/2015 02:00:00 PM,03/14/2015 04:00:00 AM,Brooklyn,Student,Student Film
89802,Shooting Permit,03/13/2013 07:00:00 AM,03/13/2013 11:00:00 PM,Brooklyn,Television,Cable-episodic
67566,Shooting Permit,08/03/2012 10:00:00 AM,08/04/2012 12:00:00 AM,Brooklyn,Film,Feature
232459,Shooting Permit,07/02/2015 06:00:00 AM,07/02/2015 10:00:00 PM,Brooklyn,Film,Feature
211318,Shooting Permit,04/01/2015 06:00:00 AM,04/01/2015 08:00:00 PM,Brooklyn,Television,Episodic series
68139,Shooting Permit,08/09/2012 06:00:00 AM,08/09/2012 11:30:00 PM,Queens,Film,Feature
247000,Shooting Permit,09/29/2015 06:00:00 PM,09/30/2015 06:00:00 AM,Brooklyn,Television,Cable-episodic
90841,Shooting Permit,03/25/2013 06:00:00 AM,03/26/2013 11:00:00 PM,Queens,Film,Feature
